total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.4,0.0,0.1,0.2,4.2,0.8,1.4,1.9,CAS004_CAS0000353_stacked_01_H
0.2,0.1,0.1,0.0,3.9,0.9,1.3,1.4,CAS002_CAS0000161_stacked_01_H
0.2,0.1,0.1,0.1,3.7,0.8,1.3,1.2,CAS003_CAS0000234_stacked_02_H
0.3,0.0,0.1,0.1,4.2,0.5,1.3,1.8,CAS004_CAS0000335_stacked_01_H
0.3,0.1,0.1,0.1,4.7,1.1,1.6,1.7,CAS003_CAS0000252_stacked_02_H
0.3,0.1,0.1,0.1,4.4,0.9,1.1,1.8,CAS005_CAS0000409_stacked_01_H
0.3,0.1,0.2,0.0,4.1,1.3,1.4,0.9,CAS005_CAS0000393_stacked_01_H
0.5,0.1,0.2,0.2,7.0,1.6,2.0,3.0,CAS003_CAS0000226_stacked_01_H
0.4,0.1,0.2,0.1,4.4,0.9,0.7,1.7,CAS003_CAS0000268_stacked_01_H
0.5,0.1,0.2,0.2,4.5,0.8,0.9,2.1,CAS004_CAS0000341_stacked_02_H
0.3,0.0,0.3,,4.3,0.5,3.7,,CAS003_CAS0000282_stacked_02_H
0.3,0.1,0.2,0.1,3.9,0.8,1.6,1.4,CAS004_CAS0000287_stacked_01_H
0.3,0.1,0.1,0.1,4.7,0.9,1.0,1.9,CAS003_CAS0000204_stacked_02_H
0.4,0.1,0.2,0.2,4.5,0.8,1.5,2.1,CAS004_CAS0000363_stacked_01_H
0.4,0.1,0.0,0.3,7.8,1.6,1.6,3.5,CAS005_CAS0000411_stacked_01_H
0.1,0.1,0.1,0.0,4.0,1.0,2.1,2.2,CAS004_CAS0000317_stacked_02_H
0.3,0.1,0.2,0.1,4.0,0.8,1.0,1.6,CAS003_CAS0000270_stacked_01_H
0.2,0.0,0.1,0.1,4.5,0.7,1.1,2.1,CAS004_CAS0000359_stacked_02_H
0.2,0.1,0.0,0.1,3.7,0.8,0.4,1.7,CAS002_CAS0000181_stacked_01_H
0.2,0.1,0.1,0.0,4.2,1.0,1.4,1.0,CAS004_CAS0000371_stacked_02_H
0.3,0.1,0.1,0.1,4.7,1.0,1.6,1.9,CAS003_CAS0000258_stacked_01_H
0.3,0.1,0.2,0.0,4.3,0.8,1.5,1.6,CAS005_CAS0000403_stacked_02_H
0.4,0.1,0.2,0.1,5.2,0.9,1.4,2.2,CAS005_CAS0000399_stacked_02_H
0.7,0.2,0.3,0.2,6.1,1.4,1.7,2.0,CAS003_CAS0000216_stacked_01_H
0.3,0.1,0.1,0.1,4.1,1.0,1.0,1.5,CAS004_CAS0000295_stacked_02_H
0.2,0.1,0.1,0.1,4.3,0.9,1.1,1.5,CAS003_CAS0000262_stacked_02_H
0.3,0.1,0.1,0.1,4.5,1.2,1.1,1.9,CAS002_CAS0000179_stacked_01_H
0.3,0.1,0.1,0.1,5.0,0.9,1.1,2.1,CAS003_CAS0000191_stacked_01_H
0.4,0.1,0.2,0.1,4.0,0.8,1.2,1.5,CAS004_CAS0000305_stacked_01_H
0.4,0.2,0.1,0.1,4.8,1.2,0.6,2.1,CAS004_CAS0000357_stacked_01_H
0.2,0.1,0.1,0.1,5.2,1.1,0.7,2.5,CAS002_CAS0000165_stacked_01_H
0.2,0.0,0.0,0.1,4.1,0.8,1.1,1.7,CAS003_CAS0000230_stacked_02_H
0.2,0.1,0.1,0.1,4.8,1.0,0.8,1.9,CAS004_CAS0000319_stacked_01_H
0.4,0.1,0.2,0.1,4.8,0.9,1.3,1.9,CAS003_CAS0000244_stacked_01_H
0.4,0.1,0.2,0.1,4.5,1.0,1.5,1.2,CAS005_CAS0000385_stacked_02_H
